account_no,family_members,segment_gender_f,segment_gender_m,age_group,district,region,segment_cd_lifestyle,segment_dsc_lifestyle,segment_cd_value_cnt,segment_dsc_value_cnt,segment_cd_lifestage,segment_dsc_lifestage,segment_cd_pss,segment_dsc_pss
849429635922,0,0,0,18-25 anos,na,NA,6,Os Económicos Focados,6,Occasional Medium,6,No Value,3,Medium-high Ps
849430594167,0,0,0,35-45 anos,na,NA,1,Os Saudáveis Exigentes,4,Frequent Medium,4,Family With Kids,2,High Ps
839899498952,2,1,0,45-55 anos,porto,litoral norte,2,Os Urbanos Sofisticados,2,Loyal Medium,5,Active Adults,6,Neutral Ps
839903397329,4,1,0,35-45 anos,,NA,5,Os Tradicionais Frequentes,7,Occasional Small,5,Active Adults,5,Low Price/own Brand
839908514017,3,1,1,>=65 anos,lisboa,litoral sul,1,Os Saudáveis Exigentes,4,Frequent Medium,2,Senior,3,Medium-high Ps
839913793800,4,0,1,>=65 anos,lisboa,litoral sul,5,Os Tradicionais Frequentes,4,Frequent Medium,2,Senior,1,Very High Ps
839913981002,0,1,0,35-45 anos,santarém,interior centro,1,Os Saudáveis Exigentes,1,Loyal Large,4,Family With Kids,6,Neutral Ps
839919257887,6,1,1,35-45 anos,braga,litoral norte,7,Os Promocionais Atentos,6,Occasional Medium,3,Family With Young Adults,2,High Ps
839919669277,3,0,0,>=65 anos,beja,interior sul,5,Os Tradicionais Frequentes,4,Frequent Medium,2,Senior,2,High Ps
839925023462,2,1,0,45-55 anos,aveiro,litoral norte,7,Os Promocionais Atentos,8,No Value,5,Active Adults,9,No Value
839933040991,2,1,0,55-65 anos,lisboa,litoral sul,1,Os Saudáveis Exigentes,1,Loyal Large,1,Family Supporters,8,Price Upscale
839935143877,1,1,0,55-65 anos,lisboa,litoral sul,7,Os Promocionais Atentos,7,Occasional Small,5,Active Adults,8,Price Upscale
839943101941,3,1,0,45-55 anos,na,NA,4,Os Generalistas Disciplinados,8,No Value,6,No Value,9,No Value
839961245583,2,1,0,35-45 anos,porto,litoral norte,7,Os Promocionais Atentos,8,No Value,6,No Value,9,No Value
839961725976,4,1,0,55-65 anos,aveiro,litoral norte,5,Os Tradicionais Frequentes,1,Loyal Large,4,Family With Kids,3,Medium-high Ps
839961912485,5,0,1,>=65 anos,aveiro,litoral norte,5,Os Tradicionais Frequentes,7,Occasional Small,1,Family Supporters,5,Low Price/own Brand
839965523557,4,1,0,45-55 anos,leiria,litoral centro,7,Os Promocionais Atentos,8,No Value,6,No Value,9,No Value
839967155435,2,1,1,45-55 anos,leiria,litoral centro,4,Os Generalistas Disciplinados,2,Loyal Medium,5,Active Adults,6,Neutral Ps
839967917583,4,1,1,>=65 anos,leiria,litoral centro,5,Os Tradicionais Frequentes,1,Loyal Large,2,Senior,1,Very High Ps
839968475761,3,1,0,>=65 anos,santarém,interior centro,1,Os Saudáveis Exigentes,1,Loyal Large,5,Active Adults,6,Neutral Ps
839971451134,2,0,1,>=65 anos,faro,sul,4,Os Generalistas Disciplinados,4,Frequent Medium,2,Senior,1,Very High Ps
839974248120,0,1,1,>=65 anos,setúbal,litoral sul,2,Os Urbanos Sofisticados,4,Frequent Medium,1,Family Supporters,8,Price Upscale
839974606203,4,1,0,>=65 anos,faro,sul,7,Os Promocionais Atentos,6,Occasional Medium,6,No Value,7,No Ps
839998808522,2,1,1,>=65 anos,porto,litoral norte,4,Os Generalistas Disciplinados,8,No Value,6,No Value,9,No Value
840005185499,4,1,1,45-55 anos,porto,litoral norte,2,Os Urbanos Sofisticados,1,Loyal Large,3,Family With Young Adults,5,Low Price/own Brand
840010146878,4,1,0,35-45 anos,lisboa,litoral sul,1,Os Saudáveis Exigentes,8,No Value,2,Senior,5,Low Price/own Brand
840018329730,3,1,0,45-55 anos,na,NA,7,Os Promocionais Atentos,8,No Value,6,No Value,9,No Value
840024540242,1,1,0,>=65 anos,na,NA,1,Os Saudáveis Exigentes,8,No Value,6,No Value,9,No Value
840029191290,2,0,1,35-45 anos,beja,interior sul,4,Os Generalistas Disciplinados,6,Occasional Medium,5,Active Adults,7,No Ps
840030170792,0,1,0,45-55 anos,leiria,litoral centro,7,Os Promocionais Atentos,7,Occasional Small,6,No Value,3,Medium-high Ps
840030308317,1,1,0,55-65 anos,setúbal,litoral sul,7,Os Promocionais Atentos,8,No Value,6,No Value,9,No Value
840044450163,2,0,1,>=65 anos,na,NA,5,Os Tradicionais Frequentes,7,Occasional Small,2,Senior,4,Medium Ps
840045757414,3,0,1,55-65 anos,vila real,interior norte,4,Os Generalistas Disciplinados,7,Occasional Small,5,Active Adults,2,High Ps
840046505557,4,1,1,>=65 anos,vila real,interior norte,7,Os Promocionais Atentos,6,Occasional Medium,2,Senior,3,Medium-high Ps
840052984292,3,0,1,>=65 anos,porto,litoral norte,1,Os Saudáveis Exigentes,7,Occasional Small,2,Senior,4,Medium Ps
840054368250,4,1,0,45-55 anos,porto,litoral norte,5,Os Tradicionais Frequentes,6,Occasional Medium,4,Family With Kids,5,Low Price/own Brand
840095630705,2,0,1,>=65 anos,leiria,litoral centro,7,Os Promocionais Atentos,7,Occasional Small,2,Senior,2,High Ps
840097343283,2,1,0,35-45 anos,braga,litoral norte,5,Os Tradicionais Frequentes,4,Frequent Medium,4,Family With Kids,1,Very High Ps
840100058760,5,1,1,35-45 anos,na,NA,1,Os Saudáveis Exigentes,1,Loyal Large,4,Family With Kids,6,Neutral Ps
840107313817,4,1,0,35-45 anos,évora,interior sul,5,Os Tradicionais Frequentes,1,Loyal Large,4,Family With Kids,7,No Ps
840115517016,1,1,0,45-55 anos,aveiro,litoral norte,3,Os Pais Práticos,1,Loyal Large,4,Family With Kids,8,Price Upscale
840119738858,4,0,1,45-55 anos,viana do castelo,litoral norte,4,Os Generalistas Disciplinados,6,Occasional Medium,2,Senior,4,Medium Ps
840136251005,4,1,0,25-35 anos,leiria,litoral centro,2,Os Urbanos Sofisticados,8,No Value,5,Active Adults,5,Low Price/own Brand
840136254457,4,1,0,25-35 anos,porto,litoral norte,1,Os Saudáveis Exigentes,7,Occasional Small,5,Active Adults,3,Medium-high Ps
840146531043,4,1,0,25-35 anos,lisboa,litoral sul,4,Os Generalistas Disciplinados,7,Occasional Small,5,Active Adults,5,Low Price/own Brand
840165679982,1,0,1,35-45 anos,évora,interior sul,1,Os Saudáveis Exigentes,4,Frequent Medium,4,Family With Kids,8,Price Upscale
840168730622,1,1,0,>=65 anos,lisboa,litoral sul,2,Os Urbanos Sofisticados,5,Frequent Small,1,Family Supporters,8,Price Upscale
840170261527,3,1,0,35-45 anos,porto,litoral norte,4,Os Generalistas Disciplinados,8,No Value,5,Active Adults,8,Price Upscale
840177318002,50,1,0,>=65 anos,bragança,interior norte,5,Os Tradicionais Frequentes,5,Frequent Small,2,Senior,2,High Ps
840183891725,3,1,0,55-65 anos,beja,interior sul,7,Os Promocionais Atentos,8,No Value,6,No Value,9,No Value
840185195524,2,0,1,55-65 anos,lisboa,litoral sul,7,Os Promocionais Atentos,6,Occasional Medium,6,No Value,3,Medium-high Ps
840207136217,1,1,0,>=65 anos,lisboa,litoral sul,1,Os Saudáveis Exigentes,7,Occasional Small,1,Family Supporters,8,Price Upscale
840211538397,2,1,0,25-35 anos,na,NA,1,Os Saudáveis Exigentes,4,Frequent Medium,5,Active Adults,8,Price Upscale
840211646542,3,1,0,25-35 anos,setúbal,litoral sul,7,Os Promocionais Atentos,8,No Value,6,No Value,9,No Value
840216867836,1,1,1,25-35 anos,ilha de são miguel,INSCO,1,Os Saudáveis Exigentes,4,Frequent Medium,3,Family With Young Adults,8,Price Upscale
840217781810,2,0,1,>=65 anos,na,NA,8,Sem Valor,7,Occasional Small,2,Senior,5,Low Price/own Brand
840229146291,3,1,0,45-55 anos,setúbal,litoral sul,7,Os Promocionais Atentos,8,No Value,6,No Value,9,No Value
840237203931,1,1,0,25-35 anos,porto,litoral norte,7,Os Promocionais Atentos,8,No Value,5,Active Adults,4,Medium Ps
840245709770,2,0,1,>=65 anos,setúbal,litoral sul,7,Os Promocionais Atentos,8,No Value,2,Senior,8,Price Upscale
840253635894,0,0,1,25-35 anos,lisboa,litoral sul,7,Os Promocionais Atentos,4,Frequent Medium,5,Active Adults,6,Neutral Ps
840255094764,5,1,0,25-35 anos,viseu,interior norte,2,Os Urbanos Sofisticados,5,Frequent Small,5,Active Adults,3,Medium-high Ps
840255948237,0,0,0,45-55 anos,na,NA,8,Sem Valor,8,No Value,6,No Value,9,No Value
840257470583,2,1,0,>=65 anos,lisboa,litoral sul,2,Os Urbanos Sofisticados,8,No Value,2,Senior,3,Medium-high Ps
840260859351,2,0,1,35-45 anos,porto,litoral norte,7,Os Promocionais Atentos,7,Occasional Small,3,Family With Young Adults,4,Medium Ps
840269179341,0,1,0,18-25 anos,beja,interior sul,6,Os Económicos Focados,4,Frequent Medium,5,Active Adults,6,Neutral Ps
840276618324,1,0,1,35-45 anos,setúbal,litoral sul,7,Os Promocionais Atentos,8,No Value,6,No Value,9,No Value
840277197863,1,0,1,18-25 anos,setúbal,litoral sul,7,Os Promocionais Atentos,8,No Value,5,Active Adults,9,No Value
840277578658,4,0,1,25-35 anos,lisboa,litoral sul,6,Os Económicos Focados,8,No Value,6,No Value,5,Low Price/own Brand
840278194168,4,1,0,NA,ilha de são miguel,INSCO,6,Os Económicos Focados,4,Frequent Medium,5,Active Adults,7,No Ps
840280135159,2,1,0,>=65 anos,coimbra,litoral centro,8,Sem Valor,7,Occasional Small,6,No Value,9,No Value
840287873644,0,0,0,45-55 anos,na,NA,8,Sem Valor,8,No Value,6,No Value,9,No Value
840288546691,3,1,0,>=65 anos,lisboa,litoral sul,8,Sem Valor,8,No Value,6,No Value,9,No Value
840290833147,1,0,1,18-25 anos,leiria,litoral centro,3,Os Pais Práticos,3,Loyal Small,4,Family With Kids,5,Low Price/own Brand
840296625333,0,1,1,25-35 anos,viseu,interior norte,2,Os Urbanos Sofisticados,5,Frequent Small,5,Active Adults,6,Neutral Ps
840300729781,0,0,0,45-55 anos,na,NA,8,Sem Valor,8,No Value,6,No Value,9,No Value
847001558061,0,1,1,55-65 anos,leiria,litoral centro,2,Os Urbanos Sofisticados,5,Frequent Small,5,Active Adults,5,Low Price/own Brand
847008893193,0,0,1,>=65 anos,porto,litoral norte,1,Os Saudáveis Exigentes,5,Frequent Small,2,Senior,2,High Ps
847099758776,4,1,1,55-65 anos,lisboa,litoral sul,7,Os Promocionais Atentos,8,No Value,6,No Value,9,No Value
847100043840,0,0,1,>=65 anos,setúbal,litoral sul,7,Os Promocionais Atentos,8,No Value,6,No Value,9,No Value
847108343171,0,0,1,25-35 anos,aveiro,litoral norte,8,Sem Valor,8,No Value,6,No Value,9,No Value
847108753338,0,1,0,45-55 anos,lisboa,litoral sul,3,Os Pais Práticos,8,No Value,6,No Value,4,Medium Ps
849403319752,4,0,1,35-45 anos,beja,interior sul,3,Os Pais Práticos,5,Frequent Small,4,Family With Kids,1,Very High Ps
849414120255,0,0,0,18-25 anos,na,NA,3,Os Pais Práticos,7,Occasional Small,5,Active Adults,5,Low Price/own Brand
849414699959,0,0,1,35-45 anos,ilha de são miguel,INSCO,1,Os Saudáveis Exigentes,1,Loyal Large,3,Family With Young Adults,8,Price Upscale
849425750182,0,0,0,18-25 anos,na,NA,7,Os Promocionais Atentos,8,No Value,5,Active Adults,9,No Value
849426859044,0,0,0,25-35 anos,na,NA,1,Os Saudáveis Exigentes,4,Frequent Medium,5,Active Adults,2,High Ps
849426997879,0,0,0,25-35 anos,na,NA,2,Os Urbanos Sofisticados,4,Frequent Medium,5,Active Adults,1,Very High Ps
849427070608,0,0,0,18-25 anos,na,NA,3,Os Pais Práticos,6,Occasional Medium,4,Family With Kids,6,Neutral Ps
849428746892,0,0,0,25-35 anos,na,NA,2,Os Urbanos Sofisticados,7,Occasional Small,5,Active Adults,5,Low Price/own Brand
849431412180,0,1,0,18-25 anos,na,NA,8,Sem Valor,7,Occasional Small,6,No Value,9,No Value
849431510968,0,0,0,25-35 anos,na,NA,8,Sem Valor,7,Occasional Small,6,No Value,9,No Value
839900533535,1,1,0,25-35 anos,coimbra,litoral centro,2,Os Urbanos Sofisticados,4,Frequent Medium,5,Active Adults,2,High Ps
839906391539,3,1,0,55-65 anos,setúbal,litoral sul,2,Os Urbanos Sofisticados,8,No Value,2,Senior,2,High Ps
839908937189,3,1,0,55-65 anos,lisboa,litoral sul,5,Os Tradicionais Frequentes,7,Occasional Small,2,Senior,2,High Ps
839909987220,0,0,1,55-65 anos,na,NA,6,Os Económicos Focados,8,No Value,2,Senior,4,Medium Ps
839910759512,2,1,0,>=65 anos,lisboa,litoral sul,4,Os Generalistas Disciplinados,7,Occasional Small,6,No Value,9,No Value
839912637337,3,1,0,35-45 anos,coimbra,litoral centro,4,Os Generalistas Disciplinados,7,Occasional Small,5,Active Adults,9,No Value
839915762852,4,1,1,55-65 anos,braga,litoral norte,5,Os Tradicionais Frequentes,4,Frequent Medium,5,Active Adults,3,Medium-high Ps
839919795485,3,1,1,45-55 anos,faro,sul,7,Os Promocionais Atentos,8,No Value,6,No Value,9,No Value
839920127707,2,1,0,55-65 anos,faro,sul,4,Os Generalistas Disciplinados,8,No Value,5,Active Adults,4,Medium Ps
839920633710,2,0,1,>=65 anos,viseu,interior norte,7,Os Promocionais Atentos,8,No Value,6,No Value,9,No Value
839920980487,3,1,0,>=65 anos,viseu,interior norte,1,Os Saudáveis Exigentes,4,Frequent Medium,2,Senior,4,Medium Ps
839924401056,2,1,1,>=65 anos,porto,litoral norte,5,Os Tradicionais Frequentes,4,Frequent Medium,2,Senior,2,High Ps
839925198211,2,1,1,>=65 anos,porto,litoral norte,5,Os Tradicionais Frequentes,5,Frequent Small,2,Senior,3,Medium-high Ps
839932722068,3,1,0,45-55 anos,braga,litoral norte,7,Os Promocionais Atentos,8,No Value,6,No Value,9,No Value
839934211478,4,1,0,55-65 anos,lisboa,litoral sul,2,Os Urbanos Sofisticados,8,No Value,1,Family Supporters,6,Neutral Ps
839937851975,3,1,0,35-45 anos,santarém,interior centro,7,Os Promocionais Atentos,6,Occasional Medium,5,Active Adults,7,No Ps
839946688053,2,0,1,55-65 anos,ilha da madeira,litoral sul,4,Os Generalistas Disciplinados,2,Loyal Medium,2,Senior,6,Neutral Ps
839947415764,3,1,0,25-35 anos,ilha de são miguel,INSCO,6,Os Económicos Focados,3,Loyal Small,4,Family With Kids,5,Low Price/own Brand
839947560815,0,1,1,35-45 anos,ilha de são miguel,INSCO,8,Sem Valor,8,No Value,6,No Value,9,No Value
839958489723,3,1,0,45-55 anos,guarda,interior norte,3,Os Pais Práticos,4,Frequent Medium,3,Family With Young Adults,4,Medium Ps
839958822513,1,1,0,35-45 anos,porto,litoral norte,1,Os Saudáveis Exigentes,6,Occasional Medium,2,Senior,8,Price Upscale
